x,y,z,Primary_SGDID
,,,S000000042
90.789,65.794,12.786,
91.103,65.641,12.611,
,,,
91.103,65.641,12.611,
91.445,65.495,12.447,
,,,
91.445,65.495,12.447,
91.816,65.355,12.293,
,,,
91.816,65.355,12.293,
92.215,65.222,12.15,
,,,
92.215,65.222,12.15,S000000041
92.42,65.16149999999999,12.0855,S000000041
,,,S000000041
92.42,65.16149999999999,12.0855,S000000040
92.625,65.101,12.021,S000000040
,,,S000000040
92.625,65.101,12.021,S000002138
93.026,65.001,11.912,S000002138
,,,S000002138
93.026,65.001,11.912,
93.42,64.922,11.822,
,,,
93.42,64.922,11.822,S000000039
93.806,64.863,11.752,S000000039
,,,S000000039
93.806,64.863,11.752,
94.185,64.824,11.701,
,,,
94.185,64.824,11.701,
94.555,64.805,11.671,
,,,
94.555,64.805,11.671,
94.918,64.806,11.659,
,,,
94.918,64.806,11.659,
95.274,64.828,11.668,
,,,
95.274,64.828,11.668,
95.621,64.871,11.696,
,,,
95.621,64.871,11.696,
95.961,64.933,11.743,
,,,
95.961,64.933,11.743,
96.293,65.016,11.81,
,,,
96.293,65.016,11.81,
96.617,65.119,11.897,
,,,
96.617,65.119,11.897,
96.934,65.243,12.003,
,,,
96.934,65.243,12.003,
97.243,65.386,12.129,
,,,
97.243,65.386,12.129,S000000038
97.544,65.55,12.275,S000000038
,,,S000000038
97.544,65.55,12.275,
97.837,65.735,12.44,
,,,
97.837,65.735,12.44,
98.123,65.939,12.625,
,,,
98.123,65.939,12.625,
98.4,66.164,12.829,
,,,
98.4,66.164,12.829,S000000037
98.671,66.41,13.053,S000000037
,,,S000000037
98.671,66.41,13.053,S000118318
98.933,66.675,13.296,S000118318
,,,S000118318
98.933,66.675,13.296,S000178035
99.188,66.955,13.542,S000178035
,,,S000178035
99.188,66.955,13.542,
99.435,67.243,13.771,
,,,
99.435,67.243,13.771,S000000036
99.674,67.539,13.985,S000000036
,,,S000000036
99.674,67.539,13.985,
99.906,67.843,14.183,
,,,
99.906,67.843,14.183,
100.129,68.156,14.365,
,,,
100.129,68.156,14.365,S000028592
100.2375,68.316,14.4485,S000028592
,,,S000028592
100.2375,68.316,14.4485,S000028732
100.346,68.476,14.532,S000028732
,,,S000028732
100.346,68.476,14.532,S000000035
100.554,68.805,14.682,S000000035
,,,S000000035
100.554,68.805,14.682,
100.755,69.141,14.817,
,,,
100.755,69.141,14.817,
100.949,69.486,14.936,
,,,
100.949,69.486,14.936,
101.134,69.839,15.039,
,,,
101.134,69.839,15.039,
101.312,70.2,15.127,
,,,
101.312,70.2,15.127,S000000034
101.3975,70.3845,15.1625,S000000034
,,,S000000034
101.3975,70.3845,15.1625,S000000033
101.483,70.569,15.198,S000000033
,,,S000000033
101.483,70.569,15.198,
101.645,70.946,15.254,
,,,
101.645,70.946,15.254,
101.8,71.332,15.294,
,,,
101.8,71.332,15.294,
101.947,71.725,15.318,
,,,
101.947,71.725,15.318,
102.087,72.127,15.326,
,,,
102.087,72.127,15.326,
102.219,72.537,15.319,
,,,
102.219,72.537,15.319,S000000032
102.343,72.955,15.296,S000000032
,,,S000000032
102.343,72.955,15.296,S000002137
102.46,73.381,15.256,S000002137
,,,S000002137
102.46,73.381,15.256,
102.569,73.815,15.202,
,,,
102.569,73.815,15.202,
102.678,74.25,15.146,
,,,
102.678,74.25,15.146,
102.795,74.677,15.105,
,,,
102.795,74.677,15.105,S000002134
102.92,75.097,15.078,S000002134
,,,S000002134
102.92,75.097,15.078,S000000031
103.054,75.509,15.065,S000000031
,,,S000000031
103.054,75.509,15.065,
103.196,75.914,15.067,
,,,
103.196,75.914,15.067,
103.346,76.312,15.084,
,,,
103.346,76.312,15.084,S000000030
103.504,76.702,15.114,S000000030
,,,S000000030
103.504,76.702,15.114,S000028731
103.67,77.085,15.159,S000028731
,,,S000028731
103.67,77.085,15.159,
103.844,77.461,15.219,
,,,
103.844,77.461,15.219,
104.027,77.829,15.293,
,,,
104.027,77.829,15.293,
104.217,78.19,15.381,
,,,
104.217,78.19,15.381,S000000029
104.416,78.543,15.483,S000000029
