YORF,05_min,10_min,15_min,20_min,20-bis_min,40_min,60_min,80_min
YPL135W,1.518,2.363,2.361,1.904,1.756,1.238,0.231,0.384
YMR244W,-0.014,0.773,-0.553,-2.073,0.259,-0.271,-0.624,-0.081
YCR039C,0.439,0.951,-0.06,0.025,0.494,-0.328,0.332,0.822
YAL009W,0.5485,0.51,0.3815,0.2895,-0.1145,-0.12,-0.1565,-0.3515
YGR031W,0.419,0.307,0.326,0.293,0.17,0.308,0.452,0.121
YFL033C,0.57,0.4815,0.631,1.309,0.272,0.127,0.0965,0.0905
YMR170C,1.631,4.153,5.429,4.1975,5.057,4.658,1.821,1.317
YDL045C,0.144,0.908,0.623,0.549,0.095,0.271,0.123,-0.011
YJR077C,-0.324,0.094,0.615,0.3135,0.308,0.5215,0.2005,0.3225
YDL232W,1.2567,1.532,0.6883,1.0597,0.0867,0.7197,0.308,0.2124
YNL121C,-0.0705,-0.551,-0.216,0.279,0.0905,0.357,0.1005,-0.2405
YNL270C,1.534,1.83,0.733,1.115,0.369,0.656,0.026,0.0
YOR313C,-0.031,0.986,-6.476,0.694,-3.536,-2.544,-0.506,0.225
YGR224W,0.33,0.4225,0.4705,0.0115,-0.235,0.355,0.3285,0.2005
YDR301W,0.254,0.3495,-0.255,0.112,-0.576,-0.206,-0.1275,-0.2345
YMR150C,-0.343,1.142,0.265,3.226,0.141,-0.048,-0.005,-0.319
YLR408C,0.488,1.186,0.553,0.832,0.535,0.0,-0.155,0.236
YHL027W,0.5173,0.4113,0.7523,0.5657,0.5923,0.5133,0.277,0.3463
YML069W,0.048,0.052,0.113,4.248,0.282,-0.349,0.287,0.392
YGL071W,0.42,0.498,-0.029,0.0091,-0.048,-0.042,-0.601,0.0995
YNL052W,-0.065,1.177,0.706,0.3532,0.158,0.323,-0.053,-0.198
YPR160W,3.041,3.823,4.639,5.2965,3.7355,1.949,1.446,2.6665
YER162C,0.744,1.181,1.454,1.41,0.927,0.505,0.0,0.135
YER005W,-0.15,-0.766,-0.177,0.336,-0.454,0.019,0.063,-0.096
YLR007W,-0.472,-0.58,-1.095,-0.841,-1.2355,-0.913,-0.346,-0.0945
YIL110W,-0.627,-1.073,-1.127,1.5995,-1.4665,-1.381,-0.6545,-0.517
YMR121C,0.254,-0.365,-1.48,-1.549,-1.588,-2.048,-0.705,-0.347
YPR101W,0.382,0.08,-0.837,-0.391,-0.272,-0.794,-0.118,-0.157
YPL080C,0.394,-0.208,-0.641,0.09,-0.101,0.082,1.338,0.524
YDR226W,0.124,0.038,-0.255,-0.127,-0.209,-0.25,0.244,0.534
YDR159W,-0.188,0.26,-0.401,-0.2305,-0.552,0.181,-0.326,-0.081
YER031C,0.092,0.381,0.151,-0.05,-0.392,-0.169,0.262,0.395
YLR312W-A,-0.175,-0.1945,-0.336,0.5055,0.3115,0.0315,0.3565,0.7885
YPR126C,-1.019,0.185,-0.815,-0.3593,-0.28,-0.302,-0.49,-0.581
YNL258C,-0.265,0.424,-0.035,0.473,-0.34,-0.099,-0.14,-0.1
YDR075W,-1.431,-1.383,-1.238,-1.483,-1.78,-1.177,-0.687,-0.454
YDR223W,-0.284,0.154,0.166,-0.089,-0.121,0.662,0.271,0.258
YER127W,-1.271,-2.534,-2.809,-2.346,-2.38,-1.464,-0.217,-0.071
YMR185W,-0.986,-1.52,-2.313,-1.287,-2.197,-1.884,-0.093,0.128
YDR065W,-0.619,0.11,0.235,2.141,-0.218,0.041,-0.175,0.283
YPR021C,1.0,-0.702,0.194,1.434,0.26,0.517,0.361,-0.182
YDR052C,0.12,-0.562,-2.286,0.743,-0.29,-0.218,0.206,-0.269
YPL208W,1.24,0.838,0.147,1.987,2.679,1.35,1.654,0.753
YBR087W,-0.038,-0.16,-0.628,-0.41,-0.642,-0.688,-0.089,0.143
YMR285C,-0.426,-0.504,-0.428,-0.521,-0.353,-0.585,-0.005,0.084
YDL065C,0.657,0.833,-0.072,-0.307,-0.326,0.334,-0.893,-1.115
YGR184C,0.483,0.154,0.4097,1.0088,-0.124,0.1063,0.0803,-0.164
YJR095W,-0.305,0.82,0.125,-0.54,-1.304,0.123,-0.379,-1.189
YER117W,-0.236,-0.855,-1.836,-1.667,-1.868,-1.677,-0.524,-0.227
YNL127W,0.152,-0.199,0.54,1.233,0.312,0.031,0.149,-0.076
YKL222C,0.135,0.274,0.04,0.095,0.244,0.255,0.177,0.509
YDR096W,2.114,2.159,2.715,2.302,2.372,0.979,0.015,0.18
YGL142C,-0.272,-0.312,0.288,0.144,0.089,0.015,-0.45,-0.316
YBL029W,-0.186,0.128,0.21,0.094,-0.161,-0.15,0.261,0.211
YEL003W,0.27,-0.006,-0.498,-0.028,-0.114,0.337,0.033,0.191
YHR041C,0.018,0.8917,-0.084,0.505,-0.4737,0.9017,0.2373,-0.1493
YBL019W,0.162,0.678,0.777,0.25,0.387,0.467,0.411,0.144
YIL048W,0.1585,0.1595,0.452,0.2515,0.2465,0.25,-0.196,0.033
YBL005W-B,0.156,-0.403,0.102,0.036,-0.041,-0.071,0.397,0.73
YAR002C-A,-0.249,0.475,-0.054,-0.213,-0.983,0.548,0.058,0.0
YPL174C,1.245,1.129,-0.84,0.933,0.436,0.265,1.553,2.214
YKL093W,0.86,1.489,2.467,1.907,1.872,0.931,0.422,0.12
YNL009W,1.292,0.624,1.212,1.21,1.038,0.577,0.257,-0.308
YIL007C,0.7925,1.3275,0.5555,0.6905,0.635,-0.4755,0.391,1.1665
YLR453C,-0.257,-0.307,-0.276,0.163,-0.382,-0.295,0.09,-0.104
YMR141C,0.956,1.422,1.139,1.386,1.214,0.274,0.478,0.2
YGL122C,0.499,0.448,-0.4245,0.4753,-0.7705,-0.1215,0.0385,-1.3725
YMR290W-A,1.472,1.016,2.405,1.083,1.118,1.67,1.488,2.786
YOR293W,-0.157,-0.744,-2.282,-1.741,-2.435,-1.765,-0.854,-0.6
YDR360W,0.204,-0.1,-0.067,0.428,0.207,-0.193,-0.041,0.03
YDL227C,1.7143,1.4463,1.5987,2.0017,1.835,2.0583,1.175,-0.5493
YDR278C,0.624,0.094,-0.123,0.793,-0.519,-1.515,-0.717,-0.697
YMR015C,-0.049,0.084,0.579,0.324,0.215,0.813,0.64,0.4
YPR128C,-0.309,0.463,-0.005,0.385,-0.047,0.222,-0.177,-0.379
YPL201C,1.058,0.963,-0.385,1.393,-0.4585,-1.907,-1.807,-0.6671
YIL114C,0.1465,0.154,-0.159,-0.166,-0.282,-0.6675,-0.6185,-0.86
YBL018C,-0.409,-0.48,-1.03,-1.681,-2.0,1.098,-0.008,0.246
YBR234C,0.36,0.954,1.182,2.792,1.091,0.772,0.138,-0.044
YNL252C,-0.041,0.628,0.707,0.74,0.525,0.313,-0.124,-0.02
YER185W,-0.034,-1.084,-0.692,0.0744,-0.494,0.106,-0.319,-0.727
YDL209C,2.044,1.519,0.287,1.9533,0.254,2.07,-0.415,3.032
YGL052W,-0.281,-0.007,-0.032,0.217,-0.069,-0.173,-0.098,-0.153
YBR113W,0.66,-0.077,0.463,1.472,0.578,1.062,1.087,1.28
YDR398W,-2.112,-4.395,-5.035,-4.725,-4.358,-2.0446,-1.145,-1.017
YLR105C,-0.777,-0.889,-1.029,-0.743,-0.638,-0.709,0.049,-0.192
YJL210W,0.343,0.6795,0.906,0.705,0.5765,0.3535,-0.2365,-0.1855
YDR243C,1.6205,1.8785,1.2068,1.8271,1.3741,2.2325,0.9535,0.2325
YDR356W,-0.2375,-0.12,-0.5325,0.0592,-0.1995,-0.3565,0.3025,0.44
YKL128C,-0.182,0.05,-0.269,-0.184,-0.095,0.378,-0.13,-0.074
YML103C,-0.1755,0.4875,-0.65,-0.096,-1.093,-0.509,-0.03,-0.616
YCL031C,-0.7415,-1.0765,-1.075,-0.4392,-0.737,-1.1565,-0.501,-0.2735
YGL011C,0.197,0.826,0.691,0.593,0.469,0.012,0.288,0.141
YKR021W,0.108,-0.284,0.279,0.408,0.158,-0.109,-0.209,0.166
YNL327W,-0.51,-1.045,0.386,-2.115,0.068,-0.358,-0.423,-1.06
YLR003C,-1.191,-2.628,-3.442,-2.921,-2.957,-1.197,-0.762,-0.282
YGR235C,-0.101,-0.008,-0.2955,-0.505,-0.518,-1.086,-0.8945,-0.7135
YMR221C,-0.313,-0.474,-0.572,-0.845,-0.874,-0.476,-0.543,-0.257
YCL017C,-0.312,0.134,0.295,0.029,-0.384,0.447,-0.236,-0.348
YIL037C,0.766,0.3875,0.027,0.2635,-0.29,-0.0835,0.184,0.1165
YDR177W,0.213,0.567,0.541,0.473,0.083,0.007,0.521,0.835
YER168C,-0.41,-0.546,-0.497,-0.666,-0.587,-0.462,-0.357,-0.156
YMR134W,-0.065,0.256,-0.158,0.027,-0.273,0.036,-0.191,0.103
YPR051W,0.034,-0.492,-1.002,-0.487,-0.578,-1.669,-0.456,-0.402
YDR516C,2.98,3.937,3.855,3.535,3.356,0.944,0.955,0.963
YPR171W,-0.125,-0.063,0.123,0.254,0.214,-0.216,0.362,0.187
YBR286W,0.2455,0.481,1.051,0.742,0.6465,0.4945,-0.2805,-0.3965
YEL066W,-0.219,0.311,-0.02,0.252,0.087,0.417,1.046,1.038
YCR087W,-0.436,-1.183,-2.207,-1.603,-1.898,-1.82,-0.923,-0.47
YML074C,0.018,0.417,-0.335,0.5427,-0.122,-1.147,-0.063,0.327
YHR112C,0.377,1.174,1.3885,1.7485,1.342,1.8855,1.4805,1.2195
YLR357W,-0.512,-0.802,-0.577,-0.12,-0.409,-0.483,-0.03,-0.329
YNL195C,2.712,4.117,4.678,4.181,3.81,2.1862,0.811,0.17
YGL179C,0.997,0.865,0.715,1.163,0.587,0.449,0.641,0.615
YDL123W,0.189,0.697,0.746,0.424,0.247,0.12,-0.15,-0.11
YGR086C,0.832,1.771,1.9,2.452,1.682,0.48,-0.087,-0.286
YOL123W,0.468,-0.859,-2.102,-1.604,-1.722,-1.664,-0.106,0.033
YML112W,-0.021,0.301,0.258,0.337,0.346,-0.337,0.417,0.476
YER055C,-0.199,-0.868,-1.541,-1.203,-1.774,-0.739,-0.564,-0.739
YHR113W,0.484,0.9995,1.4695,1.6925,1.35,0.622,0.302,-0.1045
YLR204W,-0.258,0.847,0.497,0.786,0.572,0.264,-0.11,-0.018
YNL257C,-0.16,-0.122,0.167,0.314,-0.105,-0.694,0.163,-0.018
YGL199C,0.042,1.197,1.149,0.634,0.11,0.755,0.105,-0.542
YJR045C,1.113,1.26,1.9795,-0.47,1.4585,0.84,0.8415,0.55
YBR102C,-0.248,-0.079,-0.17,0.296,0.345,-1.555,0.256,0.455
YDR253C,0.158,0.763,0.254,1.896,-0.051,-0.69,-0.021,-0.01
YDR293C,0.476,0.658,1.352,0.953,1.063,0.495,0.233,0.139
YOR093C,0.6105,0.99,1.54,2.1,0.314,0.431,0.0015,0.8925
YKR061W,-0.479,-0.091,-0.122,-0.186,-0.541,-0.057,-0.029,-0.058
YDR214W,2.55,2.983,3.288,3.156,3.22,2.77,2.587,2.61
YAL021C,0.394,0.6785,0.2245,0.407,-0.604,0.016,-0.1475,-0.103
YGL221C,0.073,0.757,0.508,0.397,0.229,0.859,1.043,0.729
YOR115C,-0.3,0.465,-0.524,-0.081,0.254,-0.177,0.247,0.694
YEL017W,0.283,1.227,1.346,0.14,-0.017,0.367,0.468,0.269
YER148W,-0.588,0.404,-0.797,-0.855,-1.109,-0.462,-0.16,-0.295
YGR251W,1.3655,1.5145,-2.0505,1.409,0.0695,1.1275,0.4055,1.5505
YDR523C,-0.957,-0.888,-1.0,3.322,-1.527,-2.062,-1.97,-0.8
YPL095C,0.427,0.698,0.674,0.997,-0.039,0.687,0.073,-0.348
YNL164C,-1.44,-0.8,-1.498,-1.536,-2.0,-0.484,-0.235,-0.212
YDL134C,0.072,0.348,0.669,0.426,0.324,-0.28,-0.239,-0.128
YBR257W,-0.772,-0.927,-1.171,-1.733,-0.702,-0.724,-0.231,0.069
YGL263W,-0.661,0.094,-0.153,-0.5365,-1.04,-0.585,-1.081,-1.088
YNL104C,0.014,-0.196,0.785,0.524,0.348,0.781,0.389,0.245
YDR246W,0.64,1.193,0.568,0.62,0.586,-0.196,0.114,0.097
YDL162C,0.219,-0.278,-0.579,-0.329,-0.823,-0.767,-0.687,-0.561
YLL026W,4.733,5.272,5.873,2.796,5.276,3.557,3.216,2.836
YML037C,-0.556,-0.627,-0.835,-0.676,-0.782,-0.254,-0.411,-0.173
YDR110W,-0.792,-1.323,-1.222,-1.189,-1.312,-2.524,-0.019,-0.173
YGL091C,-0.02,0.728,0.392,0.666,0.299,0.274,0.123,0.293
YEL072W,1.029,-0.299,-0.283,3.186,-0.062,0.089,0.098,-0.078
YHR186C,-0.3105,-0.9765,-0.502,-0.227,-0.338,-0.1655,-0.09,0.029
YKL151C,1.97,3.971,4.653,4.894,4.533,3.431,0.927,1.189
YLR282C,1.288,1.959,0.847,3.17,0.485,0.043,0.398,0.19
YDR283C,1.403,0.956,-0.539,-0.149,-1.524,0.459,-0.585,0.061
YLL065W,-0.66,-0.562,-0.656,-0.63,-0.485,-0.501,-0.314,-0.853
YJL117W,-0.0615,0.121,-0.03,-0.33,-0.135,-0.398,-0.0625,-0.089
YLL051C,-0.222,-0.634,-0.001,-0.278,-0.525,-0.382,0.132,0.057
YPR048W,-0.792,-1.715,-1.848,-1.449,-1.979,-0.662,-0.531,-0.258
YDL012C,0.01,-0.114,-0.538,1.315,-0.41,-0.638,0.076,-0.028
YNL057W,0.362,1.026,1.035,1.01,1.13,0.99,0.274,0.646
YLR138W,0.414,0.52,0.145,0.892,-0.139,0.173,0.473,-0.186
YEL038W,0.36,1.133,0.895,0.469,0.375,-0.355,-0.565,-0.706
YPR099C,0.246,0.115,0.131,0.917,0.574,0.221,0.524,0.543
YOL006C,0.587,-0.12,-0.449,0.1718,0.023,0.092,0.55,0.45
YPL151C,0.457,0.822,0.069,-0.226,-0.33,0.11,-0.408,-0.037
YLR152C,1.314,2.163,2.636,1.826,1.721,1.021,0.283,0.524
YHR143W,-0.5905,-0.502,0.4905,-0.197,-0.371,0.0425,-0.0135,-0.347
YKR004C,0.05,0.599,0.179,0.019,-0.16,-0.124,0.172,0.55
YJR031C,-0.222,-1.7725,-1.1905,0.789,-0.9435,-0.7585,0.183,0.026
YDL141W,-0.147,0.103,0.202,-0.297,-0.472,0.377,-0.062,-0.441
YMR265C,0.452,0.06,0.258,0.358,0.127,-0.35,-0.201,-0.504
YJR145C,-0.4115,-0.639,-1.459,5.408,-2.2535,-1.5005,-0.9105,-0.81
YOR210W,-0.137,-0.816,-1.721,-0.598,-1.181,-1.12,-0.11,0.009
YDR350C,0.345,0.017,0.738,-0.026,0.642,0.396,0.107,0.209
YLR465C,-0.538,-0.67,-0.407,-0.909,-0.949,0.359,-0.198,-0.489
YMR002W,0.294,1.088,0.878,0.959,0.602,0.737,0.462,0.478
YPL102C,0.592,0.0405,0.3485,-0.548,-0.5295,0.0055,-0.6515,-0.2019
YHR006W,1.1017,0.5847,0.521,0.9423,-0.3437,-0.0223,-0.4433,-1.2493
YPL077C,0.341,0.743,0.373,0.98,0.193,-0.152,0.331,-0.06
YAR030C,0.93,0.303,0.115,2.206,-0.292,-0.387,0.303,-0.111
YCL037C,-0.725,-2.949,-3.343,3.408,-2.957,-1.134,-0.609,-0.666
YBR003W,2.841,2.328,0.415,0.128,0.211,0.617,0.0,-0.074
YGL084C,0.071,0.369,0.953,0.613,0.729,0.686,0.17,0.124
YDR150W,0.2715,0.328,-0.4295,-0.31,0.1095,-0.3855,0.0245,-0.1045
YLL030C,0.476,1.102,0.137,0.5926,-0.569,-0.197,-1.056,-1.543
YBL102W,-0.161,0.942,1.134,0.73,0.219,0.686,0.009,-0.207
YER047C,0.368,-0.214,0.48,0.247,0.456,0.211,-0.016,-0.33
YBR109C,0.187,1.201,0.81,0.438,-0.1,0.444,0.256,0.001
YCR084C,0.016,-0.301,0.192,-0.404,-0.306,0.485,0.065,-0.125
YDL172C,0.132,0.032,-0.083,0.151,0.286,0.083,0.182,-0.09
YMR294W-A,0.303,0.456,-0.017,0.578,0.141,-0.403,0.032,0.19
YMR098C,0.229,-0.043,0.6118,0.68,0.697,0.432,0.446,0.724
YCL045C,-0.292,-0.26,0.0325,1.289,-0.5235,0.054,-0.4015,-0.555
YGR098C,0.6655,0.3165,0.0865,0.7904,-0.144,0.3285,-0.105,1.4385
YKL002W,-0.1425,0.165,-0.5395,0.1295,-0.1285,-0.467,-0.2205,0.008
YHR156C,0.6885,0.6335,-0.0105,0.682,0.097,-0.2105,0.349,0.615
YAR009C,0.5185,0.223,0.0905,0.2205,-0.1375,-0.236,-0.038,0.051
YKR016W,0.684,1.249,1.336,1.558,1.235,0.741,0.425,0.606
YJL192C,-0.3245,-0.184,-0.2765,-0.3065,-0.3835,-0.145,-0.1605,-0.266
YGR190C,-0.974,-1.5105,-0.7065,-0.6083,-1.2385,-0.6015,-0.6345,-0.923
YCL019W,0.115,-0.201,0.08,0.291,0.068,0.316,0.271,0.398
YER107C,-0.459,-0.6,-0.594,0.273,-0.122,-0.722,0.954,0.658
YEL024W,1.312,2.215,2.328,1.821,2.182,1.37,0.559,0.564
YMR094W,-0.97,-1.898,-1.4874,-1.0,-1.199,-0.392,-0.03,0.184
YDL100C,0.213,0.101,0.135,1.858,0.239,0.423,0.626,0.156
YLR283W,0.582,0.77,1.022,1.634,1.063,0.168,0.429,0.274
YOL033W,0.12,0.621,0.673,0.965,0.681,0.113,0.513,0.298
YLL013C,-0.549,-0.908,-0.306,0.272,0.371,0.327,-0.163,-0.17
YPR191W,0.813,1.806,2.108,2.295,2.142,1.142,0.887,0.817
YIR031C,0.6365,0.531,0.5055,3.044,0.132,-0.26,0.435,0.2155
YJL132W,1.045,1.3925,1.7705,1.913,1.635,0.708,0.491,0.6325
YOR106W,0.054,-0.511,-0.865,-0.244,-0.433,-0.813,-0.306,0.09
YDL215C,1.671,1.468,0.84,1.0815,0.939,1.961,-0.053,1.7425
YCR019W,0.178,0.081,0.181,-0.01,0.361,0.098,0.119,0.048
YBR198C,0.138,0.11,0.3,-0.077,-0.138,0.162,0.122,-0.102
YMR197C,0.899,2.081,2.306,2.409,1.506,1.323,0.582,0.628
YJR107W,0.213,1.0625,0.8835,0.9875,0.619,0.658,0.489,0.572
YER164W,-0.081,-0.216,-0.342,-0.506,-0.356,-0.126,-0.174,-0.082
YLR276C,-1.271,-3.536,-4.199,-3.7426,-3.855,-2.573,-0.936,-0.892
YNL157W,0.551,0.943,0.456,0.706,0.597,-0.146,0.519,0.541
YGR037C,-0.029,0.223,-0.262,-0.378,-0.32,-0.597,0.174,0.115
YJL130C,-0.1947,-1.4207,-1.699,-1.3151,-1.453,-0.45,0.23,-0.3293
YGR128C,-1.545,-2.88,-2.985,-2.926,-3.042,-1.3415,-0.69,-0.7085
YOR017W,-0.061,0.275,0.175,0.327,-0.082,-0.081,-0.02,-0.136
YLR023C,0.318,0.255,0.641,0.463,0.468,0.199,-0.201,-0.12
YJR136C,0.196,-0.4975,-0.211,1.045,-0.078,-2.6775,0.2095,-0.059
YHR005C,1.352,1.484,0.2075,1.092,0.5735,1.8215,1.2765,1.0014
YLR253W,-0.328,0.087,0.195,0.161,0.313,0.064,0.119,0.094
YPR046W,0.693,0.562,-0.109,1.184,-0.214,-0.019,0.374,0.923
YGL092W,-0.0305,-0.331,-0.256,-0.1515,-0.377,-0.154,-0.002,-0.1585
YGR167W,0.508,0.6445,0.5715,1.3705,0.9435,-0.107,0.187,0.3165
YOL142W,-0.869,-1.361,-1.154,-1.371,-1.397,-0.778,-0.523,-0.076
YIL089W,1.302,0.8335,1.272,3.035,0.723,1.3195,1.552,2.0115
YJL056C,0.122,0.162,0.2325,0.3785,-0.464,0.112,0.143,-0.0745
YAL023C,-0.1165,-0.131,-0.2445,-0.026,-0.932,-0.0745,0.0425,-0.157
YEL058W,-0.025,-0.259,-0.199,0.026,-0.12,0.36,0.177,-0.178
YNL243W,1.109,0.7055,1.607,3.3805,0.11,0.101,-0.4615,0.082
YOL137W,-0.48,-0.482,-0.371,-0.649,-0.866,0.304,-0.113,-0.342
YNL334C,-0.529,0.707,0.43,-2.872,-0.133,0.581,0.714,0.112
YMR129W,-0.625,-1.453,-0.937,-0.884,-1.05,-0.814,-0.561,-0.71
YMR220W,-0.608,-0.254,0.071,0.087,-0.435,0.321,0.231,-0.304
YDR533C,0.853,2.399,2.65,2.999,2.639,2.419,1.217,0.769
YGR290W,1.4805,0.804,1.52,1.5958,0.6375,-0.389,-0.357,-0.5262
YGR213C,-0.01,0.4055,0.511,0.8885,0.325,0.053,0.6135,0.4905
YGR242W,0.315,-0.033,0.466,0.2145,0.0,-0.268,-0.53,-0.18
YPL161C,1.331,1.966,0.852,1.022,-0.0725,0.117,0.247,-0.8125
YHR127W,-0.2885,-0.871,-1.238,0.3085,-0.528,-0.7515,0.0175,-0.042
YNL019C,0.151,0.274,0.347,0.203,0.494,0.355,0.021,-0.322
YDL140C,-0.121,-1.086,0.07,0.112,-0.06,0.054,-0.005,-0.132
YLR041W,-0.425,0.049,-0.158,-0.222,-0.638,0.381,-0.699,-0.802
YBR226C,1.228,1.9665,-0.0955,0.619,-1.7345,-1.633,-0.469,-0.2876
YHR046C,1.3795,0.6901,-0.257,2.9015,0.6553,1.7141,0.609,0.065
YBR203W,1.689,1.989,2.618,2.149,1.98,0.343,-0.138,0.146
YFL009W,-0.072,-0.284,0.397,0.306,0.229,0.187,0.138,0.235
YIL176C,0.123,0.4895,0.2795,0.364,0.0135,-0.365,0.163,0.086
YLR260W,4.165,2.295,1.7612,2.077,2.7441,2.7611,1.585,3.459
YPL004C,1.655,2.638,3.048,2.832,2.525,0.56,-0.008,0.007
YJR078W,0.9195,1.8185,0.979,1.0095,0.7125,1.0755,1.657,1.725
YPR029C,0.097,0.153,0.271,-4.316,0.344,-0.155,-0.173,-0.303
YCL048W,0.023,0.52,-0.191,0.533,-0.234,-1.1555,-0.807,-0.4939
YMR115W,-0.012,0.573,0.461,0.172,0.08,0.014,-0.208,-0.382
YLR079W,0.254,1.106,1.162,2.16,1.074,0.068,0.601,0.222
YDL047W,0.014,0.477,0.097,-0.213,-0.505,0.083,-0.067,-0.425
YGL030W,-0.23,-0.562,-1.664,-2.164,-2.291,-1.909,-0.986,-0.843
YOL166C,0.182,-0.34,-0.635,-0.626,-0.239,-0.434,-0.287,-1.585
YLR098C,1.0685,1.2845,0.5865,1.4195,-0.3625,0.4275,0.1535,0.4085
YIL164C,0.754,0.581,1.8793,0.632,0.381,0.2075,0.2335,-0.156
YML072C,0.3345,-0.759,-0.26,2.6695,0.096,0.017,0.071,-0.924
YML093W,-1.261,-3.602,-4.507,2.565,-2.615,-1.452,-0.446,-0.029
YCL028W,0.003,-0.366,0.2,0.2311,0.249,0.357,0.32,-0.092
YDL187C,0.132,0.787,0.112,0.611,-1.818,0.451,-1.0,-1.469
YFR013W,-0.821,-0.558,-0.425,-0.433,-0.556,-0.247,-0.513,-0.542
YIL125W,0.8397,1.0437,3.107,1.951,0.7397,0.5173,0.009,0.2048
YNL223W,0.865,0.015,0.551,1.271,0.446,-0.44,0.172,-0.283
YMR023C,3.0857,3.092,3.7,3.768,1.807,3.459,2.807,3.585
YIL035C,-0.074,-0.0925,-1.4185,0.2625,0.147,-0.6225,0.055,0.2315
YDL197C,0.892,0.7605,0.643,0.6165,0.7915,-0.1495,0.593,0.57
YDL168W,0.135,0.159,0.168,-0.114,-0.128,-0.435,0.197,0.194
YBL006C,-0.263,0.392,0.122,-0.136,-0.657,-0.215,-0.153,-0.208
YDR196C,0.269,0.5,0.434,0.545,0.544,-0.222,0.01,0.376
YMR152W,0.594,1.897,1.96,3.337,1.808,1.117,0.519,0.148
YDL247W,2.222,0.171,0.133,0.851,-0.498,-0.313,-0.072,-0.688
YBL071C,0.619,0.813,-0.8815,-0.3675,-0.776,0.074,0.3255,0.015
YMR126C,-0.198,0.318,-0.12,-0.376,-1.026,-0.029,-0.615,-0.617
YPR136C,-1.1875,-1.058,-0.9995,-1.025,-1.4705,-1.0355,-0.5015,-0.512
YPL183C,-1.097,-2.853,-2.58,-2.117,-2.124,-0.975,-0.443,-0.868
YDR186C,-0.103,-0.351,0.202,0.212,0.629,0.061,0.561,0.292
YJL158C,0.0697,-0.1873,-0.3193,1.3157,-0.431,0.03,0.238,0.0273
YDL091C,0.537,1.04,0.73,0.682,0.566,0.615,0.076,0.075
YML062C,0.312,0.742,0.2,0.704,0.897,-0.331,0.088,0.525
YEL023C,3.3201,3.0,4.54,6.392,3.087,2.9046,2.0997,2.807
YKL112W,0.156,-0.285,0.224,0.048,0.331,-0.021,-0.096,0.042
YGL010W,0.345,1.235,1.567,0.905,1.102,1.047,0.058,-0.092
YIR002C,-0.1235,0.5225,0.727,0.6605,0.2335,0.5835,0.4605,0.3565
YDL105W,0.376,0.048,-0.614,3.268,-1.148,-0.424,-0.432,-0.604
YDR112W,-0.548,-1.057,-1.085,-1.387,-1.651,-1.948,-1.485,-1.498
YGL101W,-0.675,-0.676,-0.821,-1.31,-1.432,-1.056,-0.592,-0.576
YLL054C,-0.598,-1.294,-1.43,-1.269,-2.075,-0.488,-0.292,-0.351
YHR120W,-0.199,-0.517,-1.138,-0.119,-0.727,-2.743,-0.382,-1.083
YEL014C,0.227,0.392,1.143,-0.056,-0.27,-0.132,0.042,0.013
YOR066W,-0.519,-0.25,-0.137,-0.245,-0.317,-0.522,-0.208,-0.463
YKL044W,1.847,0.905,0.862,0.5255,-0.057,-0.624,-0.739,-0.9155
YDL206W,1.447,2.879,2.485,1.4713,1.322,0.527,-0.117,-0.147
YOL071W,0.989,1.854,1.754,1.941,1.946,1.205,0.934,0.781
YJL180C,-0.587,-0.177,0.3395,0.2075,0.5045,-0.0755,0.014,-0.098
YOL018C,-0.358,0.303,0.125,1.244,-0.298,-0.33,-0.309,-0.256
YDR172W,-0.349,-1.492,-1.011,-1.382,-0.632,-0.195,0.398,0.34
YOR153W,0.925,-0.67,0.534,0.26,0.156,0.453,0.337,0.406
YLR396C,0.169,0.574,0.494,0.668,-0.046,-0.101,-0.147,-0.669
YLL045C,0.047,-0.787,-1.746,-2.108,-2.105,-1.781,-0.338,-0.361
YNL110C,-1.359,-3.468,-4.43,-5.407,-3.64,-2.443,-0.902,-0.211
YDR281C,1.988,0.9,2.651,1.547,1.131,1.467,1.121,0.653
YOL025W,0.517,0.711,0.782,0.816,0.602,0.595,0.054,0.42
YKR077W,-0.156,-0.261,-0.309,-0.395,-0.141,0.643,0.425,-0.17
YCR044C,-0.244,-0.301,0.235,1.071,0.208,0.293,0.1443,-0.325
YPR050C,-0.262,-0.258,-1.196,-0.728,-0.952,-0.919,-0.579,-0.36
YNL045W,0.313,0.623,2.299,0.522,1.79,1.445,0.673,0.223
YLR214W,-1.784,-1.902,-1.357,-2.053,-2.1,-0.916,-1.196,-1.655
YKR103W,0.128,-0.754,0.0,0.037,0.399,0.109,0.107,0.304
YPR026W,1.843,3.07,3.227,2.669,2.768,2.131,1.429,-1.206
YDR064W,-0.63,-0.812,-1.589,0.135,-1.917,-1.678,-0.997,-0.743
YHR166C,-0.004,-0.314,-0.2165,-0.181,0.181,-0.4255,0.1125,-0.208
YJR047C,0.245,0.374,-0.1165,2.2315,-0.4775,-0.786,-0.5565,-0.5105
YFL022C,-0.034,-0.579,-0.914,-0.784,-0.986,-0.772,0.001,-0.121
YER077C,-0.413,0.041,0.163,0.292,-0.396,0.0,0.2,0.883
YIL139C,-0.0505,0.276,-0.13,0.003,-0.125,0.2725,0.185,0.377
YGR148C,-0.1715,-0.632,-1.979,-2.079,-2.184,-1.776,-1.0095,-0.514
YLR149C,2.798,3.684,4.616,4.115,4.196,2.173,1.281,0.945
